geoid,name,B25070001,"B25070001, Error",B25070002,"B25070002, Error",B25070003,"B25070003, Error",B25070004,"B25070004, Error",B25070005,"B25070005, Error",B25070006,"B25070006, Error",B25070007,"B25070007, Error",B25070008,"B25070008, Error",B25070009,"B25070009, Error",B25070010,"B25070010, Error",B25070011,"B25070011, Error"
86000US11217,"11217",14671,770,921,258,1851,344,2270,338,1922,305,1516,319,1432,397,711,272,1009,261,2688,353,351,124
86000US11218,"11218",15656,980,863,225,1526,301,1948,288,1684,311,1356,339,1220,497,748,300,1331,344,4459,600,521,245
86000US11219,"11219",18374,738,934,297,1003,232,1396,323,1641,390,1893,431,1005,233,1265,385,1465,331,6849,618,923,199
86000US11220,"11220",20836,946,714,198,1554,295,2267,395,2315,449,1957,364,1791,393,1087,282,1689,313,6563,419,899,265
86000US11221,"11221",28796,1312,1136,282,2172,413,3318,568,3156,550,3655,587,2472,407,1618,361,2093,399,8053,865,1123,341
86000US11222,"11222",17452,741,585,164,1588,274,2892,416,2980,489,1871,304,1350,270,1186,302,1369,346,3139,531,492,194
86000US11223,"11223",16930,688,598,160,1357,338,1427,267,1668,244,1422,297,1186,271,916,252,1508,317,6011,599,837,181
86000US11224,"11224",14886,791,941,319,1151,360,1144,313,889,260,1877,394,2145,519,848,299,732,263,4426,639,733,271
86000US11225,"11225",20085,908,1343,344,2104,516,2573,415,2435,457,2301,392,1211,297,810,226,1572,440,5410,770,326,140
86000US11226,"11226",32796,1332,1152,288,3530,592,4457,608,3278,495,3705,495,2727,441,1845,367,2773,524,8485,693,844,271
86000US11228,"11228",6633,634,303,109,454,165,827,231,637,159,526,149,314,130,424,142,637,339,2061,436,450,134
86000US11229,"11229",16211,803,1206,294,1226,302,1647,338,1602,353,1505,370,1121,295,895,240,1302,257,4771,431,936,236
86000US11230,"11230",22864,897,904,227,1389,253,2359,440,2192,455,2340,393,1829,353,1428,282,2110,449,6887,646,1426,320
86000US11231,"11231",11665,667,797,237,1384,366,1925,465,1872,425,1392,341,670,226,653,279,768,314,1542,335,662,268
86000US11232,"11232",6825,678,441,353,778,235,687,218,742,200,752,302,618,289,359,160,458,207,1713,350,277,162
86000US11233,"11233",25133,1194,2075,457,1450,372,2278,468,2470,451,2661,573,1944,512,1618,421,2155,521,6960,815,1522,479
86000US11234,"11234",9438,706,445,195,783,191,899,172,782,171,966,285,920,241,358,146,826,254,2384,362,1075,279
86000US11235,"11235",22727,955,878,229,1305,295,1727,358,1474,353,2189,489,2100,468,1454,332,2245,457,7823,692,1532,309
86000US11236,"11236",15014,821,857,186,1227,294,1493,333,1393,279,1663,355,893,222,797,219,1550,406,4225,596,916,253
86000US11237,"11237",16011,840,481,169,1118,252,1508,325,1986,333,1650,401,1518,347,924,281,1877,467,4577,594,372,205
86000US11238,"11238",20189,805,837,249,2567,400,3476,440,2839,447,2252,368,1715,355,996,259,1102,256,3722,596,683,258
86000US11239,"11239",7487,640,736,301,386,181,735,200,546,207,933,273,1110,380,528,230,616,242,1671,313,226,141
86000US11249,"11249",15001,864,755,287,2078,433,2333,440,2479,544,1475,343,984,284,819,260,1039,364,2717,574,322,131
86000US11354,"11354",12584,966,308,173,997,504,953,248,1135,333,755,248,1003,357,1193,441,1139,404,4119,738,982,326
86000US11355,"11355",20690,1181,557,333,1369,394,1872,539,1692,380,1007,326,1657,413,1886,629,1771,402,6765,741,2114,450
86000US11356,"11356",4101,457,121,102,262,158,423,200,515,297,288,169,112,92,254,148,378,173,1545,359,203,132
86000US11357,"11357",3577,569,68,55,232,125,574,314,334,133,270,140,249,160,181,126,173,92,1296,386,200,122
86000US11358,"11358",5594,536,144,101,354,136,499,160,637,217,545,175,536,243,321,151,231,102,1845,318,482,150
86000US11359,"11359",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11360,"11360",2120,366,50,45,189,124,202,97,246,133,192,115,180,151,111,126,139,64,496,192,315,199
86000US11361,"11361",4614,342,62,35,546,147,560,205,555,177,412,124,434,167,153,89,316,127,1087,240,489,149
86000US11362,"11362",1800,478,110,103,58,69,243,138,175,112,392,336,239,206,180,136,7,8,250,129,146,124
86000US11363,"11363",769,212,11,17,45,56,68,45,66,59,45,38,163,168,0,19,71,57,262,114,38,37
86000US11364,"11364",3993,505,83,62,219,127,609,197,329,197,245,109,352,220,128,88,304,161,1288,386,436,163
86000US11365,"11365",8779,695,318,149,854,269,974,298,1020,383,819,257,1118,382,466,278,592,223,1876,398,742,480
86000US11366,"11366",1294,351,31,42,73,65,89,66,415,334,152,101,108,85,105,75,63,50,161,94,97,80
86000US11367,"11367",7161,622,356,180,581,295,535,186,710,265,856,268,776,344,332,172,625,188,2010,509,380,174
86000US11368,"11368",23144,1007,934,393,1312,492,2420,480,2521,503,2667,516,1561,349,1746,372,2375,548,6817,678,791,368
86000US11369,"11369",5442,548,28,20,276,123,476,198,646,178,769,215,643,216,435,174,675,240,1355,318,139,94
