geoid,name,B25034001,"B25034001, Error",B25034002,"B25034002, Error",B25034003,"B25034003, Error",B25034004,"B25034004, Error",B25034005,"B25034005, Error",B25034006,"B25034006, Error",B25034007,"B25034007, Error",B25034008,"B25034008, Error",B25034009,"B25034009, Error",B25034010,"B25034010, Error",B25034011,"B25034011, Error"
86000US10312,"10312",22697,830,102,69,973,262,3029,427,3487,387,4817,646,5395,489,2216,333,1094,332,444,162,1140,253
86000US10314,"10314",33738,758,99,89,1111,296,1561,315,2235,388,8388,610,9057,912,4340,559,3044,429,1031,294,2872,420
86000US10451,"10451",23071,930,841,348,3729,632,3018,602,844,311,1049,305,1336,415,3711,707,2050,421,2347,669,4146,716
86000US10452,"10452",29162,939,179,128,1837,383,2645,487,1555,436,2454,511,2375,454,2424,585,3175,717,2584,559,9934,847
86000US10453,"10453",28564,932,153,134,1919,359,1869,547,1500,480,2409,518,3572,514,2625,490,2765,503,2471,563,9281,976
86000US10454,"10454",15612,675,140,92,1918,459,1324,368,845,305,690,266,2015,532,2464,480,1419,322,1031,321,3766,662
86000US10455,"10455",16946,876,420,168,1047,274,1199,411,1622,480,1110,344,1571,440,2252,450,2072,476,1606,563,4047,661
86000US10456,"10456",33538,1370,88,77,3657,670,4783,645,1704,400,1376,355,2932,622,4180,712,2932,661,3634,806,8252,957
86000US10457,"10457",28479,979,233,185,3426,425,2356,443,2292,498,1432,328,2665,572,2507,524,2050,447,2354,487,9164,818
86000US10458,"10458",30732,1105,396,176,1613,450,955,273,763,231,788,264,1630,341,1729,379,1942,406,2171,502,18745,1068
86000US10459,"10459",18835,834,457,232,2491,507,3476,489,2230,459,1978,439,1421,288,1150,335,1268,341,1068,280,3296,629
86000US10460,"10460",24516,799,368,179,3222,547,1982,390,2166,446,1644,442,2483,455,1674,362,1398,419,1088,302,8491,722
86000US10461,"10461",20669,591,173,134,872,264,996,324,415,149,549,206,1770,335,2894,414,2998,490,2169,426,7833,646
86000US10462,"10462",32013,893,114,68,935,253,780,209,398,151,514,203,1857,438,2256,403,4157,531,7202,700,13800,844
86000US10463,"10463",30920,1106,116,78,626,228,1043,261,889,334,764,221,2633,380,6009,653,7153,778,2771,627,8916,765
86000US10464,"10464",2191,243,0,14,42,40,141,129,46,57,226,134,63,53,77,72,24,40,98,81,1474,285
86000US10465,"10465",17385,687,32,46,468,146,947,208,1123,365,761,272,1416,445,2865,384,4407,460,1290,282,4076,516
86000US10466,"10466",26146,1072,51,55,590,295,994,322,747,263,664,252,1636,368,4164,612,4945,701,2979,431,9376,1062
86000US10467,"10467",40791,1064,186,113,1966,343,1770,356,961,229,1253,285,2622,444,4905,507,5645,653,4631,678,16852,1078
86000US10468,"10468",29614,1414,230,111,1989,589,341,148,557,229,1204,463,2081,401,2582,619,2408,555,1519,335,16703,1030
86000US10469,"10469",25373,999,22,24,499,172,1339,316,506,203,1138,362,1591,311,3104,413,6179,648,3887,473,7108,764
86000US10470,"10470",7050,464,27,31,249,139,45,29,106,113,191,112,363,185,920,219,1156,229,850,214,3143,573
86000US10471,"10471",9682,454,0,25,298,116,218,188,194,95,227,108,609,180,3040,307,1719,365,835,280,2542,331
86000US10472,"10472",24627,654,317,140,327,145,293,127,543,176,354,147,923,225,3315,558,5493,555,2215,346,10847,585
86000US10473,"10473",23492,923,32,38,794,260,1461,367,923,322,2058,380,3593,561,6189,784,2386,426,2131,515,3925,654
86000US10474,"10474",4082,308,72,81,117,81,306,149,210,108,295,154,188,100,480,150,540,232,936,359,938,218
86000US10475,"10475",19627,928,65,82,260,158,220,150,948,346,419,259,4801,746,7437,957,2381,645,1692,377,1404,418
86000US10550,"10550",16161,771,71,72,658,239,576,202,717,298,1738,405,2131,435,1487,349,1946,529,1692,379,5145,749
86000US10704,"10704",12750,622,37,48,252,151,253,139,272,150,527,201,1316,337,1698,340,2899,405,1355,307,4141,540
86000US10705,"10705",15641,867,31,37,536,213,534,197,824,280,985,254,1870,437,1692,439,2533,453,1792,501,4844,514
86000US10803,"10803",4465,254,12,20,23,24,110,77,82,58,94,81,116,67,355,132,551,142,217,77,2905,299
86000US10805,"10805",8825,572,101,76,116,118,354,122,389,182,673,191,822,281,1167,266,2047,323,670,382,2486,420
86000US11001,"11001",9048,387,16,17,93,43,125,64,95,67,128,69,449,153,668,206,2035,335,1061,181,4378,351
86000US11003,"11003",12599,692,69,63,110,65,357,154,287,161,552,230,761,218,1261,488,3680,413,3313,477,2209,415
86000US11004,"11004",5471,467,0,21,31,35,55,55,0,21,266,166,249,130,511,182,2523,429,1622,322,214,127
86000US11005,"11005",2015,248,0,14,0,14,10,16,0,14,135,68,1478,275,222,99,10,16,60,40,100,74
86000US11020,"11020",1831,224,8,10,104,53,29,26,28,26,138,98,47,34,229,101,634,199,240,77,374,92
86000US11021,"11021",8699,413,34,33,486,248,121,58,195,107,582,192,521,142,1433,249,2064,338,1120,208,2143,271
86000US11040,"11040",14623,626,135,132,330,149,431,181,117,62,271,96,638,172,1662,301,5536,561,3808,446,1695,299
86000US11042,"11042",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11096,"11096",2861,254,0,21,74,65,257,118,112,74,165,146,146,104,241,106,364,150,266,123,1236,226
86000US11101,"11101",28026,1011,1859,369,13851,778,2032,326,272,147,149,83,319,142,539,203,1138,307,2671,606,5196,550
86000US11102,"11102",19592,790,233,142,2164,462,1836,341,903,236,836,191,1097,212,1552,284,1944,347,1693,339,7334,610
86000US11103,"11103",18999,757,142,124,886,191,743,233,381,149,514,164,1197,262,1120,221,2361,324,2541,406,9114,728
86000US11104,"11104",13174,514,14,23,275,145,60,46,334,163,350,143,578,155,991,225,1789,333,2407,389,6376,495
86000US11105,"11105",17786,550,59,54,448,158,381,124,188,73,409,140,1021,233,1623,270,2926,387,2992,377,7739,604
86000US11106,"11106",22097,787,241,127,1964,279,824,241,596,193,423,207,1489,358,1976,408,3359,443,2464,410,8761,718
86000US11109,"11109",4921,535,0,19,2502,466,1571,334,640,353,0,19,0,19,80,92,51,56,7,14,70,86
86000US11201,"11201",37323,1012,871,236,7766,670,4471,470,767,229,549,191,974,241,1646,382,3966,519,1314,319,14999,904
86000US11203,"11203",33804,840,83,76,2060,321,1051,320,719,262,346,128,939,245,2431,327,4433,461,4746,454,16996,814
86000US11204,"11204",27285,1120,190,87,562,160,941,298,665,181,859,200,686,172,1516,243,1673,279,1792,253,18401,1081
86000US11205,"11205",19740,708,175,97,2170,359,1984,402,291,128,679,208,485,162,1771,340,2075,446,2943,414,7167,600
86000US11206,"11206",35906,1060,494,196,4897,519,4890,608,1573,360,1313,290,2109,448,4697,570,3128,549,2813,505,9992,670
86000US11207,"11207",38824,973,345,182,2903,421,3243,471,3524,508,1859,368,2257,396,3981,573,3802,490,2864,480,14046,947
86000US11208,"11208",36994,1160,102,84,1750,339,2348,477,1868,463,2083,476,2252,365,3064,491,3761,531,2907,445,16859,1117
86000US11209,"11209",33090,788,17,25,330,110,785,182,495,167,844,176,1085,267,3177,345,4098,395,2741,354,19518,766
86000US11210,"11210",23115,827,356,123,631,168,632,297,288,127,422,255,928,238,2117,267,3636,493,2922,484,11183,655
86000US11211,"11211",29447,1158,373,147,5971,890,3439,562,1076,337,1019,268,921,216,1303,349,2089,494,1405,341,11851,822
86000US11212,"11212",34932,1233,607,268,1871,491,1578,412,1192,356,2912,801,3644,694,3788,672,5430,866,3722,648,10188,1028
86000US11213,"11213",29389,889,271,180,1643,340,975,236,411,120,1007,249,1393,260,844,204,1859,343,2219,387,18767,938
86000US11214,"11214",33043,882,42,58,1076,289,1710,282,787,171,1135,280,1795,303,4490,498,3302,409,3429,473,15277,786
86000US11215,"11215",32323,1266,129,59,1678,298,1561,220,534,203,763,220,575,231,1025,287,1036,248,1738,354,23284,1090
86000US11216,"11216",28995,950,322,136,2289,362,1485,299,770,314,860,281,1191,314,1326,341,1141,280,1239,235,18372,996
86000US11217,"11217",21979,685,627,182,4087,455,1428,280,479,128,563,200,663,203,814,219,674,180,1161,233,11483,584
86000US11218,"11218",27297,1256,51,40,1033,297,970,534,602,197,1062,349,927,313,3858,490,2443,347,2903,608,13448,796
86000US11219,"11219",28459,878,84,66,849,215,1575,346,1322,273,1125,265,1506,343,1668,368,1506,297,1593,271,17231,758
86000US11220,"11220",31225,988,19,22,460,120,755,204,615,176,861,198,1492,257,1281,273,1632,333,2189,319,21921,912
86000US11221,"11221",39425,1369,477,145,4940,512,3014,485,1958,453,1644,351,2350,335,1330,312,1747,306,1767,420,20198,1290
86000US11222,"11222",22902,682,932,227,2985,389,1384,302,380,159,355,140,689,178,803,221,1583,342,1008,251,12783,716
86000US11223,"11223",28803,884,148,96,511,240,938,187,272,82,619,207,866,229,3215,512,5548,519,2833,414,13853,719
86000US11224,"11224",21819,812,297,113,1281,328,350,154,856,522,1171,290,4052,583,8573,669,2192,435,495,165,2552,504
86000US11225,"11225",26883,820,412,154,1679,295,618,194,487,210,425,183,874,254,2383,535,1534,370,2678,483,15793,969
86000US11226,"11226",43525,1183,990,278,2313,378,617,220,489,165,1036,256,1022,266,3711,616,3966,599,3114,472,26267,1152
86000US11228,"11228",16350,780,0,29,128,63,414,165,300,143,472,179,640,178,543,142,1665,260,1545,257,10643,776
86000US11229,"11229",33284,931,222,105,806,206,889,214,505,160,349,114,1151,233,3111,369,8396,617,5391,580,12464,754
86000US11230,"11230",34455,959,153,82,1102,242,693,197,810,283,794,248,1721,308,3736,482,3929,528,4609,469,16908,974
86000US11231,"11231",18294,764,84,70,1783,304,647,162,627,380,681,167,474,189,313,135,662,227,1448,286,11575,814
86000US11232,"11232",10020,662,8,12,649,266,603,193,78,50,400,171,324,209,351,134,841,430,983,321,5783,428
86000US11233,"11233",34612,1005,290,137,2722,498,3536,588,1739,365,1412,423,1276,345,2181,390,1687,383,2258,525,17511,1123
86000US11234,"11234",34719,860,97,72,210,118,1116,306,465,195,1124,252,2215,353,6806,546,6370,661,4819,473,11497,689
86000US11235,"11235",36946,980,163,89,1030,237,2063,376,680,229,1011,250,1981,426,6417,617,10817,772,3772,524,9012,763
86000US11236,"11236",37238,813,55,48,269,115,940,218,763,175,972,223,2374,396,11260,692,7521,581,2562,389,10522,767
86000US11237,"11237",19195,772,444,160,1729,381,1077,293,595,170,588,180,1096,283,828,288,1281,398,1208,300,10349,722
86000US11238,"11238",30335,767,587,269,4645,509,2008,350,477,180,974,323,1273,255,1499,377,1099,307,2583,439,15190,861
86000US11239,"11239",9437,485,619,195,1633,251,451,197,467,248,327,173,4071,536,1263,307,347,153,154,113,105,64
86000US11249,"11249",19310,728,219,138,6406,571,3400,531,807,258,932,419,932,267,1883,443,563,213,438,166,3730,484
86000US11354,"11354",23441,1043,121,75,2665,377,1241,293,769,220,1992,480,1935,351,3679,516,5013,535,2095,586,3931,500
86000US11355,"11355",32362,1190,271,129,1482,417,1800,361,1840,517,2732,582,2729,472,6242,840,6952,774,2840,517,5474,707
